"ticket_id";"id";"history_type_id";"queue_id";"owner_id"
"495213";"14760011";"23";"13";"1"
"495213";"14760010";"16";"13";"199"
"495213";"14760007";"23";"8";"199"
"495213";"14759994";"23";"8";"392"
"495213";"14759991";"23";"8";"199"
"495213";"14759973";"1";"8";"1"
"495212";"14759943";"1";"14";"1"
"495211";"14759956";"23";"46";"449"
"495211";"14759931";"1";"46";"1"
"495210";"14759928";"23";"14";"526"
"495210";"14759915";"1";"14";"1"
"495209";"14759884";"23";"46";"449"
"495209";"14759859";"1";"46";"1"
"495208";"14759894";"23";"46";"449"
"495208";"14759838";"1";"46";"1"
"495207";"14759904";"23";"46";"449"
"495207";"14759835";"1";"46";"1"
"495206";"14759874";"23";"46";"449"
"495206";"14759823";"1";"46";"1"
"495205";"14759786";"23";"46";"449"
"495205";"14759762";"1";"46";"1"
"495204";"14759796";"23";"46";"449"
"495204";"14759759";"1";"46";"1"
"495203";"14759806";"23";"46";"449"
"495203";"14759738";"1";"46";"1"
"495202";"14759816";"23";"46";"449"
"495202";"14759735";"1";"46";"1"
"495201";"14759728";"23";"46";"449"
"495201";"14759713";"1";"46";"1"
"495200";"14759706";"1";"13";"1"
"495199";"14759684";"1";"7";"1"
"495198";"14759675";"1";"7";"1"
"495197";"14759663";"1";"46";"1"
"495196";"14759645";"1";"10";"1"
"495195";"14759635";"1";"7";"1"
"495194";"14759618";"1";"7";"1"
"495193";"14759615";"1";"7";"1"
"495192";"14759610";"1";"12";"1"
"495191";"14759600";"1";"7";"1"
"495190";"14759697";"23";"14";"526"
"495190";"14759590";"1";"14";"1"
"495189";"14759580";"1";"7";"1"
"495188";"14759570";"1";"7";"1"
"495187";"14759560";"1";"7";"1"
"495186";"14759550";"1";"7";"1"
"495185";"14759536";"1";"7";"1"
"495184";"14759526";"1";"7";"1"
"495183";"14759516";"1";"7";"1"
"495182";"14759506";"1";"7";"1"
"495181";"14759496";"1";"7";"1"
"495180";"14759486";"1";"7";"1"
"495179";"14759476";"1";"7";"1"
"495178";"14759466";"1";"7";"1"
"495177";"14759449";"1";"7";"1"
"495176";"14759446";"1";"7";"1"
"495175";"14759417";"1";"46";"1"
"495174";"14759404";"1";"7";"1"
"495173";"14759379";"1";"10";"1"
"495172";"14759370";"1";"7";"1"
"495171";"14759345";"1";"7";"1"
"495170";"14759342";"1";"10";"1"
"495169";"14759332";"1";"14";"1"
"495168";"14759703";"23";"14";"526"
"495168";"14759322";"1";"14";"1"
"495167";"14759267";"1";"6";"1"
"495166";"14759437";"23";"6";"1"
"495166";"14759436";"16";"6";"247"
"495166";"14759432";"23";"14";"247"
"495166";"14759264";"1";"14";"1"
"495165";"14759177";"1";"7";"1"
"495164";"14759174";"1";"7";"1"
"495163";"14759171";"1";"7";"1"
"495162";"14759168";"1";"7";"1"
"495161";"14759165";"1";"7";"1"
"495160";"14759162";"1";"7";"1"
"495159";"14759159";"1";"7";"1"
"495158";"14759156";"1";"7";"1"
"495157";"14759153";"1";"7";"1"
"495156";"14759150";"1";"7";"1"
"495155";"14759098";"1";"7";"1"
"495154";"14759095";"1";"7";"1"
"495153";"14759092";"1";"7";"1"
"495152";"14759089";"1";"7";"1"
"495151";"14759086";"1";"7";"1"
"495150";"14759083";"1";"7";"1"
"495149";"14759080";"1";"7";"1"
"495148";"14759056";"1";"7";"1"
"495147";"14759053";"1";"7";"1"
"495146";"14759050";"1";"7";"1"
"495145";"14759400";"23";"8";"223"
"495145";"14758865";"1";"8";"1"
"495144";"14759315";"23";"7";"277"
"495144";"14758855";"1";"7";"1"
"495143";"14758816";"23";"8";"471"
"495143";"14758789";"1";"8";"1"
"495142";"14759305";"23";"7";"277"
"495142";"14758739";"1";"7";"1"
"495141";"14759018";"23";"7";"275"
"495141";"14758714";"1";"7";"1"
"495140";"14758897";"23";"7";"275"
"495140";"14758700";"1";"7";"1"
"495139";"14758683";"1";"14";"1"
"495138";"14759295";"23";"7";"277"
"495138";"14758680";"1";"7";"1"
"495137";"14758674";"1";"45";"1"
"495136";"14759028";"23";"7";"275"
"495136";"14758644";"1";"7";"1"
"495135";"14758641";"1";"45";"1"
"495134";"14758843";"23";"7";"275"
"495134";"14758638";"1";"7";"1"
"495133";"14758624";"1";"14";"1"
"495132";"14758887";"23";"7";"275"
"495132";"14758608";"1";"7";"1"
"495131";"14758833";"23";"7";"275"
"495131";"14758598";"1";"7";"1"
"495130";"14758580";"1";"41";"1"
"495129";"14758822";"23";"7";"275"
"495129";"14758497";"1";"7";"1"
"495128";"14758567";"23";"6";"133"
"495128";"14758483";"1";"6";"1"
"495127";"14758782";"23";"7";"275"
"495127";"14758467";"1";"7";"1"
"495126";"14758462";"1";"12";"1"
"495125";"14758449";"1";"14";"1"
"495124";"14758446";"1";"45";"1"
"495123";"14758573";"23";"7";"385"
"495123";"14758369";"1";"7";"1"
"495122";"14758437";"23";"28";"168"
"495122";"14758352";"1";"28";"1"
"495121";"14758347";"1";"12";"1"
"495120";"14758338";"1";"25";"1"
"495119";"14758335";"23";"44";"147"
"495119";"14758325";"1";"44";"1"
"495118";"14758480";"23";"8";"392"
"495118";"14758290";"23";"8";"1"
"495118";"14758289";"16";"8";"588"
"495118";"14758286";"23";"14";"588"
"495118";"14758217";"1";"14";"1"
"495117";"14758731";"23";"7";"277"
"495117";"14758201";"1";"7";"1"
"495116";"14758322";"23";"14";"588"
"495116";"14758172";"1";"14";"1"
"495115";"14758214";"23";"10";"482"
"495115";"14758128";"1";"10";"1"
"495114";"14758274";"23";"44";"147"
"495114";"14758121";"1";"44";"1"
"495113";"14758108";"23";"10";"195"
"495113";"14758087";"1";"10";"1"
"495112";"14758621";"23";"7";"385"
"495112";"14758074";"1";"7";"1"
"495111";"14758149";"23";"46";"363"
"495111";"14758030";"1";"46";"1"
"495110";"14758557";"23";"7";"275"
"495110";"14758027";"1";"7";"1"
"495109";"14758526";"23";"7";"275"
"495109";"14757979";"1";"7";"1"
"495108";"14757976";"23";"7";"578"
"495108";"14757957";"1";"7";"1"
"495107";"14758516";"23";"7";"275"
"495107";"14757940";"1";"7";"1"
"495106";"14757992";"23";"7";"578"
"495106";"14757937";"1";"7";"1"
"495105";"14757896";"1";"10";"1"
"495104";"14758194";"23";"7";"578"
"495104";"14757857";"1";"7";"1"
"495103";"14757893";"23";"46";"363"
"495103";"14757845";"1";"46";"1"
"495102";"14757934";"23";"39";"360"
"495102";"14757813";"1";"39";"1"
"495101";"14758058";"23";"7";"578"
"495101";"14757790";"1";"7";"1"
"495100";"14758118";"23";"6";"133"
"495100";"14757916";"23";"6";"1"
"495100";"14757915";"16";"6";"247"
"495100";"14757881";"23";"14";"247"
"495100";"14757787";"1";"14";"1"
"495099";"14757928";"23";"39";"360"
"495099";"14757779";"1";"39";"1"
"495098";"14757776";"23";"45";"387"
"495098";"14757734";"1";"45";"1"
"495097";"14759285";"23";"7";"277"
"495097";"14757731";"1";"7";"1"
"495096";"14757713";"1";"12";"1"
"495095";"14757761";"23";"10";"196"
"495095";"14757695";"1";"10";"1"
"495094";"14757874";"23";"10";"196"
"495094";"14757677";"1";"10";"1"
"495093";"14757622";"23";"11";"212"
"495093";"14757607";"1";"11";"1"
"495092";"14757649";"23";"10";"195"
"495092";"14757582";"1";"10";"1"
"495091";"14757724";"23";"7";"275"
"495091";"14757565";"1";"7";"1"
"495090";"14757636";"23";"7";"385"
"495090";"14757562";"1";"7";"1"
"495089";"14757670";"23";"7";"275"
"495089";"14757552";"1";"7";"1"
"495088";"14757530";"23";"10";"285"
"495088";"14757509";"1";"10";"1"
"495087";"14757460";"23";"10";"285"
"495087";"14757412";"1";"10";"1"
"495086";"14757498";"23";"10";"364"
"495086";"14757409";"1";"10";"1"
"495085";"14757448";"23";"28";"330"
"495085";"14757365";"1";"28";"1"
"495084";"14757388";"23";"13";"515"
"495084";"14757340";"1";"13";"1"
"495083";"14758068";"23";"7";"578"
"495083";"14757330";"1";"7";"1"
"495082";"14757486";"23";"10";"195"
"495082";"14757305";"1";"10";"1"
"495081";"14757302";"1";"7";"1"
"495080";"14757292";"1";"7";"1"
"495079";"14757810";"23";"7";"578"
"495079";"14757237";"1";"7";"1"
"495078";"14757755";"23";"25";"605"
"495078";"14757234";"1";"25";"1"
"495077";"14757223";"23";"10";"285"
"495077";"14757185";"1";"10";"1"
"495076";"14757266";"23";"7";"275"
"495076";"14757165";"1";"7";"1"
"495075";"14757256";"23";"7";"275"
"495075";"14757099";"1";"7";"1"
"495074";"14757492";"23";"12";"36"
"495074";"14757067";"1";"12";"1"
"495073";"14757178";"23";"10";"300"
"495073";"14757018";"1";"10";"1"
"495072";"14757480";"23";"7";"578"
"495072";"14757008";"1";"7";"1"
"495071";"14757474";"23";"7";"578"
"495071";"14756994";"1";"7";"1"
"495070";"14756959";"23";"10";"375"
"495070";"14756938";"1";"10";"1"
"495069";"14757092";"23";"10";"195"
"495069";"14756920";"1";"10";"1"
"495068";"14756913";"23";"10";"195"
"495068";"14756891";"1";"10";"1"
"495067";"14757378";"23";"6";"6"
"495067";"14756875";"1";"6";"1"
"495066";"14757406";"23";"7";"578"
"495066";"14756851";"1";"7";"1"
"495065";"14758156";"23";"6";"1"
"495065";"14758155";"16";"6";"7"
"495065";"14756844";"23";"5";"7"
"495065";"14756820";"1";"5";"1"
"495064";"14757347";"23";"8";"471"
"495064";"14756814";"23";"8";"597"
"495064";"14756796";"1";"8";"1"
"495063";"14757054";"23";"7";"275"
"495063";"14756786";"1";"7";"1"
"495062";"14756872";"23";"10";"375"
"495062";"14756768";"1";"10";"1"
"495061";"14756743";"23";"10";"285"
"495061";"14756722";"1";"10";"1"
"495060";"14756719";"23";"10";"375"
"495060";"14756682";"1";"10";"1"
"495059";"14756709";"23";"7";"385"
"495059";"14756639";"1";"7";"1"
"495058";"14756761";"23";"6";"371"
"495058";"14756627";"1";"6";"1"
"495057";"14757082";"23";"7";"275"
"495057";"14756613";"1";"7";"1"
"495056";"14756838";"23";"7";"385"
"495056";"14756600";"1";"7";"1"
"495055";"14757064";"23";"7";"275"
"495055";"14756583";"1";"7";"1"
"495054";"14757039";"23";"7";"275"
"495054";"14756580";"1";"7";"1"
"495053";"14756987";"23";"7";"275"
"495053";"14756566";"1";"7";"1"
"495052";"14757842";"23";"44";"601"
"495052";"14756532";"1";"44";"1"
"495051";"14756563";"23";"10";"196"
"495051";"14756494";"1";"10";"1"
"495050";"14756980";"23";"14";"478"
"495050";"14756472";"1";"14";"1"
"495049";"14756661";"23";"10";"195"
"495049";"14756454";"1";"10";"1"
"495048";"14756679";"23";"14";"528"
"495048";"14756432";"1";"14";"1"
"495047";"14756429";"23";"8";"392"
"495047";"14756393";"1";"8";"1"
"495046";"14756377";"23";"7";"578"
"495046";"14756351";"1";"7";"1"
"495045";"14756703";"23";"8";"597"
"495045";"14756540";"23";"8";"1"
"495045";"14756539";"16";"8";"578"
"495045";"14756491";"23";"7";"578"
"495045";"14756416";"16";"7";"1"
"495045";"14756319";"1";"8";"1"
"495044";"14757602";"23";"16";"46"
"495044";"14756337";"23";"16";"244"
"495044";"14756308";"1";"16";"1"
"495043";"14756344";"23";"7";"578"
"495043";"14756286";"1";"7";"1"
"495042";"14756299";"23";"46";"363"
"495042";"14756260";"1";"46";"1"
"495041";"14756316";"23";"8";"392"
"495041";"14756237";"23";"8";"1"
"495041";"14756236";"16";"8";"526"
"495041";"14756233";"23";"14";"526"
"495041";"14756217";"16";"14";"1"
"495041";"14756180";"1";"8";"1"
"495040";"14756103";"23";"42";"350"
"495040";"14756086";"1";"42";"1"
"495039";"14756083";"23";"10";"482"
"495039";"14756017";"1";"10";"1"
"495038";"14756038";"23";"10";"347"
"495038";"14755983";"1";"10";"1"
"495037";"14757354";"23";"15";"145"
"495037";"14755958";"1";"15";"1"
"495036";"14756208";"23";"7";"578"
"495036";"14755909";"1";"7";"1"
"495035";"14756110";"23";"7";"578"
"495035";"14755872";"1";"7";"1"
"495034";"14756065";"23";"10";"195"
"495034";"14755844";"1";"10";"1"
"495033";"14756198";"23";"7";"578"
"495033";"14755834";"1";"7";"1"
"495032";"14756051";"23";"10";"195"
"495032";"14755800";"1";"10";"1"
"495031";"14755779";"23";"14";"606"
"495031";"14755762";"1";"14";"1"
"495030";"14755922";"23";"10";"375"
"495030";"14755725";"1";"10";"1"
"495029";"14755789";"23";"7";"578"
"495029";"14755715";"1";"7";"1"
"495028";"14755752";"23";"10";"347"
"495028";"14755691";"1";"10";"1"
"495027";"14755640";"23";"8";"392"
"495027";"14755598";"1";"8";"1"
"495026";"14755676";"23";"6";"6"
"495026";"14755587";"1";"6";"1"
"495025";"14758804";"23";"6";"133"
"495025";"14755758";"23";"6";"6"
"495025";"14755560";"1";"6";"1"
"495024";"14755571";"23";"41";"473"
"495024";"14755497";"1";"41";"1"
