Id;Label
0;(10, 1)
1;(10, 195)
2;(10, 196)
3;(10, 285)
4;(10, 293)
5;(10, 300)
6;(10, 347)
7;(10, 360)
8;(10, 364)
9;(10, 375)
10;(10, 459)
11;(10, 482)
12;(11, 1)
13;(11, 21)
14;(11, 212)
15;(11, 258)
16;(11, 577)
17;(11, 603)
18;(12, 1)
19;(12, 28)
20;(12, 36)
21;(13, 1)
22;(13, 19)
23;(13, 193)
24;(13, 199)
25;(13, 275)
26;(13, 515)
27;(13, 526)
28;(13, 588)
29;(13, 8)
30;(14, 1)
31;(14, 133)
32;(14, 182)
33;(14, 20)
34;(14, 240)
35;(14, 247)
36;(14, 371)
37;(14, 408)
38;(14, 471)
39;(14, 476)
40;(14, 478)
41;(14, 49)
42;(14, 526)
43;(14, 528)
44;(14, 568)
45;(14, 576)
46;(14, 588)
47;(14, 597)
48;(14, 6)
49;(14, 606)
50;(15, 1)
51;(15, 127)
52;(15, 132)
53;(15, 141)
54;(15, 145)
55;(15, 149)
56;(15, 214)
57;(15, 299)
58;(15, 401)
59;(15, 410)
60;(15, 42)
61;(15, 424)
62;(15, 494)
63;(15, 519)
64;(16, 1)
65;(16, 244)
66;(16, 46)
67;(16, 492)
68;(17, 1)
69;(17, 215)
70;(17, 491)
71;(22, 1)
72;(22, 247)
73;(22, 57)
74;(24, 1)
75;(24, 168)
76;(24, 495)
77;(24, 89)
78;(25, 1)
79;(25, 488)
80;(25, 605)
81;(26, 1)
82;(26, 207)
83;(26, 401)
84;(26, 424)
85;(26, 68)
86;(28, 1)
87;(28, 168)
88;(28, 330)
89;(28, 469)
90;(28, 495)
91;(28, 89)
92;(3, 1)
93;(3, 36)
94;(30, 1)
95;(30, 142)
96;(30, 234)
97;(30, 245)
98;(30, 290)
99;(30, 340)
100;(30, 402)
101;(30, 465)
102;(30, 523)
103;(30, 535)
104;(30, 595)
105;(38, 1)
106;(38, 124)
107;(38, 137)
108;(38, 153)
109;(38, 26)
110;(38, 288)
111;(38, 310)
112;(39, 1)
113;(39, 360)
114;(39, 416)
115;(40, 1)
116;(40, 126)
117;(40, 183)
118;(40, 547)
119;(41, 1)
120;(41, 338)
121;(41, 391)
122;(41, 473)
123;(42, 1)
124;(42, 146)
125;(42, 152)
126;(42, 326)
127;(42, 335)
128;(42, 339)
129;(42, 343)
130;(42, 350)
131;(42, 351)
132;(43, 1)
133;(43, 305)
134;(44, 1)
135;(44, 147)
136;(44, 295)
137;(44, 601)
138;(45, 1)
139;(45, 193)
140;(45, 207)
141;(45, 387)
142;(46, 1)
143;(46, 168)
144;(46, 363)
145;(46, 449)
146;(46, 469)
147;(46, 489)
148;(46, 522)
149;(46, 542)
150;(5, 1)
151;(5, 133)
152;(5, 193)
153;(5, 199)
154;(5, 223)
155;(5, 247)
156;(5, 254)
157;(5, 358)
158;(5, 471)
159;(5, 49)
160;(5, 526)
161;(5, 528)
162;(5, 588)
163;(5, 7)
164;(6, 1)
165;(6, 133)
166;(6, 193)
167;(6, 247)
168;(6, 302)
169;(6, 371)
170;(6, 471)
171;(6, 49)
172;(6, 526)
173;(6, 528)
174;(6, 568)
175;(6, 588)
176;(6, 6)
177;(6, 606)
178;(6, 7)
179;(6, 8)
180;(7, 1)
181;(7, 275)
182;(7, 277)
183;(7, 358)
184;(7, 385)
185;(7, 468)
186;(7, 471)
187;(7, 578)
188;(7, 597)
189;(7, 91)
190;(8, 1)
191;(8, 13)
192;(8, 133)
193;(8, 14)
194;(8, 193)
195;(8, 199)
196;(8, 223)
197;(8, 240)
198;(8, 247)
199;(8, 254)
200;(8, 371)
201;(8, 385)
202;(8, 392)
203;(8, 471)
204;(8, 515)
205;(8, 526)
206;(8, 528)
207;(8, 578)
208;(8, 588)
209;(8, 597)
210;(8, 8)
211;(9, 1)
212;(9, 13)
213;(9, 49)
